Timestamp,RFID Tag,Antenna,Time Between Stamps
2024-05-30 15:52:30,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:52:36,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:52:38,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:52:44,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:52:46,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:52:52,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:52:54,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:53:02,E200 1AC1 9627 E100 1039 0F83,0,8.008
2024-05-30 15:53:04,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:53:10,E200 1AC1 9627 E100 1039 0F83,0,6.007
2024-05-30 15:53:12,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:53:18,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:53:20,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:53:26,E200 1AC1 9627 E100 1039 0F83,0,6.008
2024-05-30 15:53:28,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:53:34,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:53:36,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:53:42,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:53:44,E200 1AC1 9627 E100 1039 0F83,0,2.005
2024-05-30 15:53:50,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:53:52,E200 1AC1 9627 E100 1039 0F83,0,2.006
2024-05-30 15:53:58,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:54:00,E200 1AC1 9627 E100 1039 0F83,0,2.005
2024-05-30 15:54:06,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:54:08,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:54:14,E200 1AC1 9627 E100 1039 0F83,0,6.007
2024-05-30 15:54:16,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:54:22,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:54:24,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:54:30,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:54:32,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:54:38,E200 1AC1 9627 E100 1039 0F83,0,6.003
2024-05-30 15:54:40,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:54:46,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:54:48,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:54:54,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:54:56,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:55:02,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:55:04,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:55:10,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:55:12,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:55:20,E200 1AC1 9627 E100 1039 0F83,0,8.005
2024-05-30 15:55:22,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:55:28,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:55:30,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:55:36,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:55:38,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:55:44,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:55:46,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:55:52,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:55:54,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:56:00,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:56:02,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:56:08,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:56:10,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:56:16,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:56:18,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:56:24,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:56:26,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:56:32,E200 1AC1 9627 E100 1039 0F83,0,6.006
2024-05-30 15:56:34,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:56:40,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:56:42,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:56:48,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:56:50,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:56:56,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:56:58,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:57:04,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:57:06,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:57:12,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:57:14,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:57:20,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:57:22,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:57:28,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:57:31,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:57:39,E200 1AC1 9627 E100 1039 0F83,0,8.007
2024-05-30 15:57:41,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:57:47,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:57:49,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:57:55,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:57:57,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:58:03,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:58:05,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:58:11,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:58:13,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:58:19,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:58:21,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:58:27,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:58:29,E200 1AC1 9627 E100 1039 0F83,0,2.004
2024-05-30 15:58:35,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:58:37,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:58:43,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:58:45,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:58:51,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:58:53,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:58:59,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:59:01,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:59:07,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:59:09,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:59:15,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:59:17,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:59:23,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:59:25,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:59:31,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:59:33,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:59:39,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 15:59:41,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 15:59:47,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 15:59:49,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 15:59:57,E200 1AC1 9627 E100 1039 0F83,0,8.006
2024-05-30 15:59:59,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 16:00:05,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 16:00:07,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 16:00:13,E200 1AC1 9627 E100 1039 0F83,0,6.003
2024-05-30 16:00:15,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 16:00:21,E200 1AC1 9627 E100 1039 0F83,0,6.004
2024-05-30 16:00:23,E200 1AC1 9627 E100 1039 0F83,0,2.002
2024-05-30 16:00:29,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 16:00:31,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 16:00:37,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 16:00:39,E200 1AC1 9627 E100 1039 0F83,0,2.003
2024-05-30 16:00:45,E200 1AC1 9627 E100 1039 0F83,0,6.005
2024-05-30 16:00:47,E200 1AC1 9627 E100 1039 0F83,0,2.003
